TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Simple Greeting Card - Bluebirds, Silkscreen Card w/envelope","Great springtime card for Mother's Day, Father's day or just to say hi.

4x6” folded bluebirds card with 100% recycled paper envelope. Card is a 2-process silkscreen print in hand-mixed blue and black ink on 140 lb. Muscletone cardstock from French Paper Co. Inside is blank. Each print is individually pulled by hand and will contain some unique imperfections. Colors may vary.

Please contact me for larger orders.",5,USD,20,"silkscreen,2_tone,spring,birds,mothers_day,fathers_day,bluebird,black,twig,handprint,blank","French Paper Compant,blue ink,black ink,recycled envelope",https://i.etsystatic.com/6311609/r/il/806137/438808783/il_fullxfull.438808783_i95i.jpg,https://i.etsystatic.com/6311609/r/il/f1bcfd/438796706/il_fullxfull.438796706_d77y.jpg,https://i.etsystatic.com/6311609/r/il/4cd861/438796718/il_fullxfull.438796718_aes4.jpg,,,,,,,,,,,,,,
"Funny Birthday Card (Belated), Linoleum Block Print w/envelope","4x6"" folded belated birthday card that reads ""Better late than never, Happy Birthday"". 

Card is a 2-process linoleum block print on 140 lb. Muscletone cover stock from French Paper Co. Printed in black and red. 

Inside is blank. 

Each print is individually pressed by hand and will contain some unique imperfections.",5,USD,10,"Birthday,Belated,Happy,Block_Print,Handprint,Black,Red,Ribbon,Happy_Birthday,Funny",,https://i.etsystatic.com/6311609/r/il/d52416/743089808/il_fullxfull.743089808_psk5.jpg,https://i.etsystatic.com/6311609/r/il/fe40b0/743089652/il_fullxfull.743089652_oxwv.jpg,https://i.etsystatic.com/6311609/r/il/f0afd5/743214031/il_fullxfull.743214031_khuo.jpg,,,,,,,,,,,,,,
"Simple Linoleum Print Poster - Letter B","9x9"" poster with hand-drawn/hand cut letter B. 

Poster is hand cut single-process linoleum block print in blue ink on 100 lb. Speckletone cover stock from French Paper Co. Each print is individually pressed by hand and signed, and will contain some unique imperfections.",10,USD,13,"B,Typography,Handmade,Hand_drawn,Linocut,Design,Bold,Alphabet,Lettering,Handlettered,Handlettering,Blue,Swash",,https://i.etsystatic.com/6311609/r/il/1d62a8/3156849752/il_fullxfull.3156849752_rpag.jpg,https://i.etsystatic.com/6311609/r/il/15061d/3204558819/il_fullxfull.3204558819_s1zx.jpg,https://i.etsystatic.com/6311609/r/il/4dc394/3204558867/il_fullxfull.3204558867_5zlm.jpg,,,,,,,,,,,,,,
"Drinks Like a Sailor Swears Like a Fish Mug 11oz","A fun hand-lettered twist on some common sayings. Never run out of your favorite hot drink! Durable white ceramic mug in the most popular size.

• Black ceramic
• 11 oz (0.33 l)
• C-handle
• Dishwasher safe",11.9,USD,997,"mug,funny,saying,quote,nautical",,https://i.etsystatic.com/6311609/r/il/b757fe/2711610151/il_fullxfull.2711610151_6hcd.jpg,https://i.etsystatic.com/6311609/r/il/1af30e/2663933502/il_fullxfull.2663933502_th8z.jpg,https://i.etsystatic.com/6311609/r/il/5b95ed/2663933554/il_fullxfull.2663933554_osrq.jpg,https://i.etsystatic.com/6311609/r/il/cad6c6/2663961866/il_fullxfull.2663961866_mum1.jpg,,,,,,,"Custom Property",Sizes,11oz,,,,1846895500
"Simple State Silkscreen Poster - The North Star State","Inspired by my home state - this 11x14"" poster is a hand lettered, hand cut and hand pulled labor of love. 

Poster is printed in gold ink on black (80lb.) and white (100lb.) smooth coverstock. Each print is individually pulled by hand and signed, and will contain some unique imperfections. 

Looks great at home or in the office, framed on unframed.",20,USD,14,"gold,minnesota,black,white,north_star,star,state,handlettering,print,handprint,midwest,typography,handlettered",,https://i.etsystatic.com/6311609/r/il/cee78e/3204560789/il_fullxfull.3204560789_r7eq.jpg,https://i.etsystatic.com/6311609/r/il/e44b80/3204560925/il_fullxfull.3204560925_9xtd.jpg,https://i.etsystatic.com/6311609/r/il/c7089d/3156851868/il_fullxfull.3156851868_dshi.jpg,https://i.etsystatic.com/6311609/r/il/e58de3/3156851930/il_fullxfull.3156851930_48i8.jpg,https://i.etsystatic.com/6311609/r/il/7b3cec/3204561063/il_fullxfull.3204561063_qa8w.jpg,https://i.etsystatic.com/6311609/r/il/e0edf7/3156852026/il_fullxfull.3156852026_7zsz.jpg,,,,,Color,"Primary color","White,Black",,,,
"Funny Silkscreen Poster - Types of Burrito Eaters","12x18"" poster featuring types of burrito eaters by method. All icons were hand drawn then finished digitally.

Poster is hand cut single-process silkscreen print in black ink on 100 lb. Speckletone cover stock from French Paper Co. Each of the prints is individually pulled by hand, numbered and signed, and will contain some unique imperfections.

Looks great at home or in the office, framed on unframed.",25,USD,14,"food,burritos,poster,silkscreen,handprinted,black,gift,sarcastic,funny,print,icons,illustration,iconography",,https://i.etsystatic.com/6311609/r/il/28f95b/3156836486/il_fullxfull.3156836486_r0je.jpg,https://i.etsystatic.com/6311609/r/il/4cbbb2/3149086564/il_fullxfull.3149086564_axm1.jpg,https://i.etsystatic.com/6311609/r/il/aba15f/3196798737/il_fullxfull.3196798737_gygs.jpg,https://i.etsystatic.com/6311609/r/il/33ace1/3149086626/il_fullxfull.3149086626_cp28.jpg,,,,,,,,,,,,,
"Funny Silkscreen Poster - I'll Be Nicer If You'll Be Smarter","11x15"" poster. Poster is printed in black and teal ink on 80 lb. smooth coverstock. Each print is individually pulled by hand, numbered and signed, and will contain some unique imperfections. 

Looks great at home or in the office, framed on unframed.",20,USD,17,"art,screenprint,poster,black,teal,coverstock,funny,sarcastic,ribbon,typography,gift,advice,inspirational","80lb coverstock,Teal Ink,Black Ink",https://i.etsystatic.com/6311609/r/il/c0f19e/3204562573/il_fullxfull.3204562573_9dek.jpg,https://i.etsystatic.com/6311609/r/il/5dff0a/3156853514/il_fullxfull.3156853514_s51t.jpg,https://i.etsystatic.com/6311609/r/il/d969b9/3156853538/il_fullxfull.3156853538_cvxi.jpg,https://i.etsystatic.com/6311609/r/il/f721e3/3204562697/il_fullxfull.3204562697_fji5.jpg,,,,,,,,,,,,,
"Retro Thank You Card, Linoleum Block Print w/envelope","4x6” folded Thank You Card with 100% recycled paper envelope. This retro style card is a single process linoleum block print in orange on 140 lb. Muscletone cardstock from French Paper Co. Inside is blank. Each print is individually pressed by hand and will contain some unique imperfections. 

Please contact me for larger orders.",4,USD,8,"orange,card,4x6,thank_you,thanks,recycled_envelope,print,1950s,folded_card,hand_print,linoleum_block,typography,vintage_look","recycle envelope,140 lb muscletone paper,french paper co,grocery bag,orange ink",https://i.etsystatic.com/6311609/r/il/864c3b/438791502/il_fullxfull.438791502_30fj.jpg,https://i.etsystatic.com/6311609/r/il/a90db2/438791500/il_fullxfull.438791500_trga.jpg,,,,,,,,,,,,,,,
"Simple Folded Card - XO, Linoleum Block Print w/envelope","4x6"" folded XO card with envelope. Cards are hand-printed 2-process linoleum block prints in red and white on 140 lb. Muscletone cover stock from French Paper Co. Block is hand carved. Inside is blank. Each print is individually pressed by hand and will contain some unique imperfections.

Great for anniversaries, love notes, or just to tell someone hello!

This card was featured on Design Sponge* http://www.designsponge.com/2012/01/est-1986-valentines-day-cards.html

Please contact me for larger orders.",4,USD,5,"Red,Simple,Typography,XO,Cards,Paper_Goods,Linoleum_Print,Hand_Print,Love,Thinking_of_you,Folded_card,Mothers_Day,Valentine","Cover Stock,Linoleum Block,French Paper Co,Red,White",https://i.etsystatic.com/6311609/r/il/a16c9b/438805209/il_fullxfull.438805209_e5kk.jpg,https://i.etsystatic.com/6311609/r/il/f96ffa/438793242/il_fullxfull.438793242_hk6g.jpg,https://i.etsystatic.com/6311609/r/il/eaa21e/301213031/il_fullxfull.301213031.jpg,https://i.etsystatic.com/6311609/r/il/2ef837/301213193/il_fullxfull.301213193.jpg,,,,,,,,,,,,,
"Simple Linoleum Print Poster - Letter C","9x9"" poster with hand-drawn/hand cut letter C. 

Poster is hand cut single-process linoleum block print in teal ink on 100 lb. Speckletone cover stock from French Paper Co. Each print is individually pressed by hand and signed, and will contain some unique imperfections.",10,USD,4,"typography,handmade,hand_drawn,letter,alphabet,c,linocut,handlettered,stripes",,https://i.etsystatic.com/6311609/r/il/0d8fa8/3204567623/il_fullxfull.3204567623_7vv7.jpg,https://i.etsystatic.com/6311609/r/il/0d8204/3204567769/il_fullxfull.3204567769_n77e.jpg,https://i.etsystatic.com/6311609/r/il/097812/3204567861/il_fullxfull.3204567861_gxp8.jpg,,,,,,,,,,,,,,
